City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mar Del Plata,AR,2021-09-20 00:19:10,-38.0023,-57.5575,55.42,100,90,8.05
67,Palora,EC,2021-09-20 00:23:08,-1.7,-77.9333,68.43,87,77,3.11
68,Vila Do Maio,CV,2021-09-20 00:23:09,15.1333,-23.2167,79.59,88,94,10.67
69,Ewo,CG,2021-09-20 00:23:09,-0.8725,14.8206,71.1,89,98,2.1
70,Havoysund,NO,2021-09-20 00:23:09,70.9963,24.6622,47.28,73,97,11.16
71,Salalah,OM,2021-09-20 00:23:10,17.0151,54.0924,80.69,89,75,6.91
72,Jamestown,US,2021-09-20 00:23:10,42.097,-79.2353,62.85,77,2,2.82
73,Clyde River,CA,2021-09-20 00:23:10,70.4692,-68.5914,29.23,61,92,3.87
74,Upernavik,GL,2021-09-20 00:23:11,72.7868,-56.1549,24.64,60,80,7.38
75,Sao Felix Do Xingu,BR,2021-09-20 00:23:11,-6.6447,-51.995,79.9,47,47,2.62
76,Belmonte,BR,2021-09-20 00:23:11,-15.8631,-38.8828,75.7,83,18,7.0
77,Sao Filipe,CV,2021-09-20 00:23:12,14.8961,-24.4956,80.04,81,95,13.69
78,Araouane,ML,2021-09-20 00:23:12,18.9048,-3.5265,95.74,14,6,7.09
79,Libreville,GA,2021-09-20 00:23:12,0.3925,9.4537,78.82,83,40,9.22
80,Marsh Harbour,BS,2021-09-20 00:23:13,26.5412,-77.0636,83.64,71,70,9.55
81,Sisimiut,GL,2021-09-20 00:23:13,66.9395,-53.6735,32.76,59,100,8.86
82,Olinda,BR,2021-09-20 00:23:13,-8.0089,-34.8553,76.73,69,20,9.22
83,Alice Town,BS,2021-09-20 00:23:14,25.7167,-79.3,84.07,70,100,8.12
84,Longyearbyen,SJ,2021-09-20 00:23:14,78.2186,15.6401,39.04,93,75,3.44
85,Bengkulu,ID,2021-09-20 00:23:14,-3.8004,102.2655,73.9,90,87,3.2
86,Saint-Augustin,CA,2021-09-20 00:23:14,51.226,-58.6502,50.02,52,3,10.71
87,Saldanha,ZA,2021-09-20 00:23:15,-33.0117,17.9442,57.25,79,92,9.73
88,Uyemskiy,RU,2021-09-20 00:23:15,64.4743,40.8524,37.45,93,75,2.24
89,Soyo,AO,2021-09-20 00:23:15,-6.1349,12.3689,73.98,80,66,6.76
90,Zambezi,ZM,2021-09-20 00:23:15,-13.5432,23.1047,74.8,28,53,8.05
91,Mahebourg,MU,2021-09-20 00:23:16,-20.4081,57.7,68.29,60,20,5.75
92,Sinnamary,GF,2021-09-20 00:23:16,5.3833,-52.95,79.93,79,99,9.6
93,Ilulissat,GL,2021-09-20 00:23:16,69.2167,-51.1,24.82,50,100,8.05
94,Pisco,PE,2021-09-20 00:19:32,-13.7,-76.2167,61.02,82,0,13.8
95,Kuloy,RU,2021-09-20 00:23:16,61.0305,42.4925,36.93,75,100,5.17
96,Bay Roberts,CA,2021-09-20 00:23:17,47.5999,-53.2648,57.51,96,100,11.01
97,Qaanaaq,GL,2021-09-20 00:23:17,77.484,-69.3632,11.32,85,32,7.45
98,Chiredzi,ZW,2021-09-20 00:23:17,-21.05,31.6667,60.42,64,2,3.83
99,Hofn,IS,2021-09-20 00:23:18,64.2539,-15.2082,50.79,87,74,14.9
100,Harper,LR,2021-09-20 00:23:18,4.375,-7.7169,77.79,84,41,4.12
101,Constitucion,CL,2021-09-20 00:20:56,-35.3333,-72.4167,49.28,84,3,12.59
102,Gualaquiza,EC,2021-09-20 00:23:18,-3.4,-78.55,65.21,93,81,1.54
