,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Carballo,ES,43.213,-8.691,63.86,91,70,6.35,broken clouds
78,Lingsugur,IN,16.1667,76.5167,73.49,87,98,10.76,overcast clouds
79,Ribeira Grande,PT,38.5167,-28.7,70.07,64,61,9.48,broken clouds
80,Skibbereen,IE,51.55,-9.2667,58.8,98,96,10.13,overcast clouds
81,Mariental,NA,-24.6333,17.9667,64.78,14,46,8.9,scattered clouds
82,Havoysund,NO,70.9963,24.6622,43.68,78,84,25.03,light rain
83,Babocsa,HU,46.0416,17.3433,52.74,76,100,7.09,overcast clouds
84,Sept-Iles,CA,50.2001,-66.3821,52.32,92,90,4.0,overcast clouds
85,Malakal,SS,9.5334,31.6605,72.41,94,100,2.3,light rain
86,Barabinsk,RU,55.3571,78.357,34.77,83,85,8.75,overcast clouds
87,Nelson,NZ,-41.2833,173.2833,69.3,54,45,3.0,scattered clouds
88,Newcastle,AU,-32.9272,151.7765,81.91,37,0,25.32,clear sky
89,Trzcianka,PL,53.0406,16.4563,51.69,73,100,19.6,overcast clouds
90,Purranque,CL,-40.9167,-73.1667,47.86,94,6,1.23,clear sky
91,Angoche,MZ,-16.2325,39.9086,72.81,74,71,10.09,broken clouds
92,San Luis,AR,-33.295,-66.3356,61.54,38,5,11.01,clear sky
93,Nata,PA,8.3333,-80.5167,74.46,88,99,0.87,overcast clouds
94,Polyarnyy,RU,69.1989,33.4478,46.87,86,41,10.33,scattered clouds
95,Skjervoy,NO,70.0311,20.9714,44.94,86,100,17.05,light rain
96,Pamplona,ES,42.8169,-1.6432,55.98,94,0,0.0,clear sky
97,Mahoba,IN,25.2833,79.8667,78.15,90,100,6.69,overcast clouds
98,Torbay,CA,47.6666,-52.7314,56.75,90,90,6.91,overcast clouds
99,Narsaq,GL,60.9167,-46.05,32.22,63,0,3.85,clear sky
100,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,1.14,clear sky
101,Isiro,CD,2.7739,27.616,64.81,100,100,2.62,overcast clouds
102,Oriximina,BR,-1.7656,-55.8661,79.83,65,100,3.18,overcast clouds
103,Nola,IT,40.922,14.5329,67.93,39,45,2.06,scattered clouds
104,Gamba,GA,-2.65,10.0,75.38,86,99,3.6,overcast clouds
105,Tobol,KZ,52.6844,62.5794,38.23,59,22,6.4,few clouds
106,Carnarvon,AU,-24.8667,113.6333,73.47,60,0,19.57,clear sky
107,Plettenberg Bay,ZA,-34.0527,23.3716,56.95,85,14,6.53,few clouds
108,Camacha,PT,33.0833,-16.3333,66.96,73,40,8.05,scattered clouds
109,Axim,GH,4.8699,-2.2405,75.69,93,77,6.33,moderate rain
110,Clyde River,CA,70.4692,-68.5914,27.79,72,33,8.1,scattered clouds
111,Qaanaaq,GL,77.484,-69.3632,16.79,61,100,5.97,overcast clouds
112,Marsh Harbour,BS,26.5412,-77.0636,83.21,68,19,3.85,few clouds
